empID,fname,lname,sex,dob ,position,department,salary ,join_date 
604,กันตภณ,ซ่อนกลิ่น,M,5-Mar-94 ,ผู้จัดการ,HR,13000,28-Feb-16 
607,เกศินี,สายหยุด,F,6-Dec-68 ,ผู้ช่วยผู้จัดการ,FIN,40000,30-Nov-87 
486,ชัชลัญญา,ลั่นทม,F,1-Jun-87 ,ผู้ช่วยผู้จัดการ,FIN,25000,26-May-09 
229,ชาติไทย,เสี้ยวดอกแดง,M,27-Jul-91 ,พนักงานระดับต้น,MKT,39000,21-Jul-15 
901,โชติมา,อรคนธ์,F,21-Aug-74 ,รองผู้จัดการ,MKT,82500,18-Sep-07 
944,ฐิติรัตน์,ตันหยง,F,15-Aug-75 ,พนักงานระดับต้น,HR,38000,9-Aug-96 
405,ณภัทร,มณฑา,M,8-Nov-63 ,พนักงานระดับต้น,FIN,35000,2-Nov-84 
665,ณัชชา,สนสร้อย,F,17-Jun-83 ,ผู้ชำนาญงาน,ACC,21000,11-Mar-17 
41,ณัฐญาณิน,มะลิลา,F,11-Feb-87 ,ผู้จัดการ,MKT,36000,5-Feb-12 
171,ณิชา,ประดู่,F,3-Apr-62 ,พนักงานระดับต้น,HR,25000,28-Mar-17 
51,ณิรดา,คัดเค้าเครือ,F,27-Apr-72 ,ผู้จัดการ,MKT,101500,29-Oct-01 
724,เดชชัย,พุทธชาติสามสี,M,13-May-83 ,ผู้ช่วยผู้จัดการ,MKT,77500,8-Mar-04 
